Test 0,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,0,0,0,0,0,0,0,0
Test 1,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,0,0,0,0,0,0,0,0
Test 2,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,0,0,0,0,0,0,0,0
Test 3,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,40,0,0,0,0,0,0,0,0
Test 4,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,4,0,0,0,0,0,0,0,0
Test 5,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,8,0,0,0,0,0,0,0,0
Test 6,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,80,4a,0,0,0,0,0,0,0
Test 7,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,1,4a,0,0,0,0,0,0,f1
Test 8,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,1,4a,0,0,0,0,0,0,d7
Test 9,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,4a,0,0,0,0,0,0,d7
Test 10,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,4a,0,0,0,0,0,0,d7
Test 11,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,80,f7,0,0,0,0,0,0,d7
Test 12,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 13,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 14,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 15,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 16,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 17,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 18,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,0,0,0,0,0,0,d7
Test 19,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,40,f7,4c,0,0,0,0,0,d7
Test 20,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,4c,0,0,0,0,0,d7
Test 21,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,8,f7,4c,0,0,5c,0,0,d7
Test 22,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,40,f7,1f,0,0,5c,0,0,d7
Test 23,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,20,f7,1f,10,0,5c,0,0,d7
Test 24,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,1f,10,0,5c,0,0,d7
Test 25,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,1f,10,0,5c,0,0,d7
Test 26,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,1f,10,0,5c,0,0,d7
Test 27,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,1,f7,1f,10,0,5c,0,0,97
Test 28,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,20,f7,1f,cb,0,5c,0,0,97
Test 29,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,1f,cb,0,5c,0,0,97
Test 30,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,2,f7,1f,cb,0,5c,0,ae,97
Test 31,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,20,f7,1f,69,0,5c,0,ae,97
Test 32,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,1,f7,1f,69,0,5c,0,ae,5f
Test 33,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,2,f7,1f,69,0,5c,0,21,5f
Test 34,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,40,f7,dc,69,0,5c,0,21,5f
Test 35,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,8,f7,dc,69,0,95,0,21,5f
Test 36,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,0,21,5f
Test 37,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,0,21,5f
Test 38,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,0,21,5f
Test 39,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,0,21,5f
Test 40,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,4,f7,dc,69,0,95,ee,21,5f
Test 41,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,4,f7,dc,69,0,95,b6,21,5f
Test 42,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,1,f7,dc,69,0,95,b6,21,95
Test 43,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,4,f7,dc,69,0,95,3f,21,95
Test 44,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,3f,21,95
Test 45,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,f7,dc,69,0,95,3f,21,95
Test 46,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,80,58,dc,69,0,95,3f,21,95
Test 47,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,4,58,dc,69,0,95,3f,21,95
Test 48,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,20,58,dc,a6,0,95,3f,21,95
Test 49,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,58,dc,a6,0,95,3f,21,95
Test 50,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,0,58,dc,a6,0,95,3f,21,95
Test 51,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,20,58,dc,bf,0,95,3f,21,95
Test 52,DECODE 3-8,Register0,Register1,Register2,Register3,Register4,Register5,Register6,Register7
,40,58,33,bf,0,95,3f,21,95
